movie_id,title,release_date,description,score,thumbnail,parsed_date,release_year,release_month,release_day
11512,Looking for an Echo,"November 10, 2000","Chronicles two old pals in middle age as they look back to when they were teenage musical stars. Vinnie (Assante), a well-to-do bartender is a widower with three children, the youngest suffering from lukemia. Vinnie proposes marriage to his daughter's nurse (Venora) and starts a new life.",38,https://static.metacritic.com/images/products/movies/7/1156ec0b3ffede98afae695b729fdae4-98.jpg,2000-11-10,2000,11,10
11513,The Specials,"September 22, 2000","A post-modern comedy that sets out to do for the superhero genre what ""Scream"" did for horror films.  (Regent Entertainment)",38,https://static.metacritic.com/images/products/movies/1/9c2bb2a3f3ac1899ddb71cf91d519fd0-98.jpg,2000-09-22,2000,9,22
11515,The Crew,"August 25, 2000","To save their retirement home, four former mobsters plan one last job.",37,https://static.metacritic.com/images/products/movies/9/1069989f4efbdb52bd023937eb4db7db-98.jpg,2000-08-25,2000,8,25
11520,8 ½ Women,"May 26, 2000","Two wealthy businessmen, a father and son, decide to set up their own brothel. . .an erotic fantasy  (including father-son incest).",36,https://static.metacritic.com/images/products/movies/8/0945bff80fd97fc63080256e26676f83-98.jpg,2000-05-26,2000,5,26
11523,Love's Labour's Lost,"June 9, 2000","Branagh turned Shakespeare's ""Love's Labour's Lost"" into a 1930s-style romantic musical comedy, topped with retro dance numbers and classic songs.",35,https://static.metacritic.com/images/products/movies/98w-movie.jpg,2000-06-09,2000,6,9
11526,Loser,"July 21, 2000","Labelled a loser by his roomates, a college student (Biggs) is booted from his dorm and falls in love with a coed (Suvari) who has feelings for their professor (Kinnear).",35,https://static.metacritic.com/images/products/movies/2/136f2ca0ca5d3bf606dc57e440f9b6b3-98.jpg,2000-07-21,2000,7,21
11536,Loving Jezebel,"October 27, 2000",A young man (Harper) has found throughout his entire life that he is cursed with falling in love with other men's women.,33,https://static.metacritic.com/images/products/movies/98w-movie.jpg,2000-10-27,2000,10,27
11544,Gossip,"April 21, 2000","Sex, deception and rumor detonate when fellow university students and roommates Derrick (Marsden), Jones (Headey) and Travis (Reedus) collaborate on their new journalism class assignment: identifying the link between news and gossip.  (Warner Brothers)",31,https://static.metacritic.com/images/products/movies/2/2c16c4afb2eb3fc16d236008f58d67df-98.jpg,2000-04-21,2000,4,21
11558,Pokémon: The Movie 2000,"July 21, 2000","Good forces try to stop Lugia, whose power could destroy the world.",28,https://static.metacritic.com/images/products/movies/4/01bc0288c5239f27a70cac78bceae0bd-98.jpg,2000-07-21,2000,7,21
11562,Dracula 2000,"December 22, 2000","Dracula, freed at last from a century in confinement, finds himself in a 21st century of chaos and temptation.  (Dimension Films)",26,https://static.metacritic.com/images/products/movies/6/bedce04efc947b7ae956586128aed49a-98.jpg,2000-12-22,2000,12,22
11564,Here on Earth,"March 24, 2000","The lives of three young people - a rich student, a girl from the ""wrong side of the tracks"" and her boyfriend - unexpectedly intersect during one fateful summer.  (Twentieth Century Fox)",25,https://static.metacritic.com/images/products/movies/5/27483e978b82a9e6d9fb656b1a3e038f-98.jpg,2000-03-24,2000,3,24
11566,The Next Best Thing,"March 3, 2000","A story about best friends, one a single straight woman (Madonna) the other a gay man (Everett). One night they get drunk...she gets pregnant...and the two decide to form a family despite their sexual preferences.",25,https://static.metacritic.com/images/products/movies/0/395600619ddd83169d8a64766ed319d1-98.jpg,2000-03-03,2000,3,3
11567,Knockout,"February 4, 2000",This inspiring movie tells the story of determined young woman (Hernandez) from East L.A. who enters the world of professional boxing.,25,https://static.metacritic.com/images/products/movies/4/de4a0f8bbaab1c1a88a41c755a34fae7-98.jpg,2000-02-04,2000,2,4
11568,Autumn in New York,"August 11, 2000","A sweet, but terminally ill, young woman is seduced by an aging playboy.",24,https://static.metacritic.com/images/products/movies/3/5011bbff201ad8b4e3bf68fc7a8cd910-98.jpg,2000-08-11,2000,8,11
11571,Hollow Man,"August 4, 2000","A government scientist (Bacon) discovers how to make people invisible.  After a freak accident that makes him slowly disappear, he begins to go insane and seeks revenge on the other scientists on the project.",24,https://static.metacritic.com/images/products/movies/4/54bca688b8fa85d66d5c294c6f611176-98.jpg,2000-08-04,2000,8,4
11573,Beautiful,"September 29, 2000","On her way to becoming Miss America, a poor girl (Driver) faces her life's goal and discovers what is really important.",23,https://static.metacritic.com/images/products/movies/9/a58510db7084708fc07cbd51cc18446c-98.jpg,2000-09-29,2000,9,29
11578,Better Living,"August 4, 2000","A comedy about families, the elements that bind them together, and about hope in the face of hardship.  (Goldheart Pictures)",21,https://static.metacritic.com/images/products/movies/9/631feb134f6ba9947be836ec3d049d61-98.jpg,2000-08-04,2000,8,4
11590,Dungeons & Dragons,"December 8, 2000","The Empire of Izmer has long been a divided land. The Mages - an elite group of magic users - rule whilst the lowly commoners are powerless. Izmer's
young Empress, Savina (Birch), wants equality and prosperity for all, but the evil Mage Profion (Irons) is plotting to depose her, and establish his
own rule. (Wizards of the Coast)",14,https://static.metacritic.com/images/products/movies/7/a0031c61623f527635fd03abc5b4141f-98.jpg,2000-12-08,2000,12,8
11597,Strippers,"December 8, 2000","Alan is having an horrendous day...he loses his job, money is missing from his bank account, he is evicted from his apartment, misses a date with his girlfriend and much more.",5,https://static.metacritic.com/images/products/movies/2/64499a73e6c8b21731a440b0702680e9-98.jpg,2000-12-08,2000,12,8
11518,The Adventures of Rocky & Bullwinkle,"June 30, 2000","Escaping the bounds of their two-dimensional cartoon world, Cold War spies Boris and Natasha are pursued by fearless heroes Rocket J. Squirrel and Bullwinkle Moose.",36,https://static.metacritic.com/images/products/movies/9/02d5fe88b7436cb4b70364155ab01a16-98.jpg,2000-06-30,2000,6,30
11525,102 Dalmatians,"November 22, 2000","Just when it seemed safe to come out of the kennel, Cruella De Vil is back and this time she's not alone.  (Walt Disney Pictures)",35,https://static.metacritic.com/images/products/movies/9/2b1a87cdeb228f3a527f259c7638016c-98.jpg,2000-11-22,2000,11,22
11527,Red Planet,"November 10, 2000","Mission Commander Kate Bowman (Moss) is the pilot and commander of the most important mission of the 21st century: saving the human race. It's 2050, Earth is dying, and colonizing Mars is the only alternative to obliteration.  (Warner Bros.)",34,https://static.metacritic.com/images/products/movies/7/d90d22fc8755a066ad7316477861aed5-98.jpg,2000-11-10,2000,11,10
