budget,cast,certification,company,director,genres,gross_sales,id,opening_weekend,producer,release_date,runtime,title,user_rating,votes,budget_usd,opening_weekend_usd,gross_sales_usd,runtime_numeric,user_rating_numeric,votes_numeric,mpaa_rating,release_year,release_month,release_day
"$4,500,000 (estimated)","Bernie, Louie, Mac, Russell Ferrier, Lomax Study, Kevin Zegers, Jamie Renée Smith, Alexa Fox, Jane Sowerby, Ingrid Tesch",PG,"Keystone Family Pictures, Film Incentive B.C., Canadian Film or Video Production Tax Credit (CPTC), Funky Monkey Productions Inc.",Robert Vince,"Comedy, Family, Sport",,196106,,"Richard Bullock, Ian Fodie, Michael Strange, Anne Vince, Robert Vince",2000-08-11,93,MVP: Most Valuable Primate,4.1,2588,4500000.0,,,93,4.1,2588,PG,2000,8,11
,"Anne Alvaro, Jean-Pierre Bacri, Alain Chabat, Agnès Jaoui, Gérard Lanvin, Christiane Millet, Wladimir Yordanoff, Anne Le Ny, Brigitte Catillon, Raphaël Dufour",R,"Canal+, France 2 Cinéma, Les Films A4",Agnès Jaoui,"Comedy, Drama, Romance",,216787,,"Christian Bérard, Charles Gassot, Jacques Hinstin",2000-03-01,112,The Taste of Others,7.2,9882,,,,112,7.2,9882,R,2000,3,1
"$4,000,000 (estimated)","Jessica Alba, Iain Glen, Jeanne Tripplehorn, Ewen Bremner, Kevin Whately, Mischa Barton, Gary Love, Gina Bellman, Oliver Milburn, Amy Phillips",Not Rated,"Isle of Man Film Commission, Isle of Man Film, Portman Productions, Sky Pictures",John Duigan,"Crime, Horror, Thriller",,197750,,"Steve Christian, Miles Donnelly, Jo Human, Peter La Terriere, Gareth Neame",2000-03-30,93,Paranoid,3.9,2339,4000000.0,,,93,3.9,2339,,2000,3,30
,"Dominique Swain, Busy Philipps, Keri Lynn Pratt, Nick Loeb, Oliver Hudson, Ryan Browning, Joel West, Thora Birch, Tell Draper, Ryan Sasson",R,International Production Company,Kat Slater,Thriller,,205418,,"Kenny Golde, Alex Hernandez, Quincy Jones, Nick Loeb, Michael Niemtzow",2000-03-05,96,The Smokers,2.9,2832,,,,96,2.9,2832,R,2000,3,5
,"Robert Stadlober, Tom Schilling, Oona-Devi Liebich, Julia Hummer, Can Taylanlar, Christoph Ortmann, Joseph Bolz, Willy Rachow, Dagmar Manzel, Burghart Klaußner",,"Bayerischer Banken-Fonds, Claussen & Wöbke Filmproduktion GmbH",Hans-Christian Schmid,Drama,,215681,,"Jakob Claussen, Ulrike Putz, Thomas Wöbke",2000-06-08,97,Crazy,6.6,4191,,,,97,6.6,4191,,2000,6,8
,"Woody Allen, Sharon Stone, Maria Grazia Cucinotta, Cheech Marin, David Schwimmer, Kiefer Sutherland, Alfonso Arau, Danny De La Paz, Andy Dick, Fran Drescher",R,"Comala Films Productions, Ostensible Productions, The Kushner-Locke Company",Alfonso Arau,"Comedy, Crime, Fantasy",,192455,,"Alfonso Arau, Mimi Polk Gitlin, Donald Kushner, Peter Locke, Paul Sandberg",2000-05-26,95,Picking Up the Pieces,4.7,3794,,,,95,4.7,3794,R,2000,5,26
,"Stanislas Merhar, Sylvie Testud, Olivia Bonamy, Liliane Rovère, Françoise Bertin, Aurore Clément, Vanessa Larré, Samuel Tasinaje, Jean Borodine, Anna Mouglalis",Not Rated,"Gemini Films, Arte France Cinéma, Paradise Films, Canal+, Centre national du cinéma et de l'image animée (CNC)",Chantal Akerman,"Drama, Music, Romance",,216605,,Paulo Branco,2000-05-15,118,The Captive,5.9,1734,,,,118,5.9,1734,,2000,5,15
,"Vincent Perez, Fanny Ardant, Josiane Balasko, Michel Serrault, Arielle Dombasle, Christian Charmetant, Françoise Lépine, François Lalande, Bruno Todeschini, Arnaud Lemaire",Not Rated,"Bel Ombre Films, Canal+, Josy Films, Mosca Films, Sans Contrefaçon Productions",Gabriel Aghion,"Comedy, History",,214878,,"Raphaël Cohen, Gaspard de Chavagnac, Pascal Houzelot",2000-03-15,100,The Libertine,6.1,1673,,,,100,6.1,1673,,2000,3,15
,"Jean Michel Basquiat, Richard Weigand, Cyndy Schneidau, Millie Schneidau, Steven Z. Soszynski, Anna Schroeder, Giorgio Gomelsky, Ted Bafaloukos, Bobby Grossman, Mickey Clean",Unrated,New York Beat Films,Edo Bertoglio,"Comedy, Drama, Music",,208993,"$11,436, 15 Jul 2001","Maripol, Patrick Montgomery, Glenn O'Brien, Michael Zilkha",2000-10-05,72,Downtown 81,7.0,1441,,11436.0,,72,7.0,1441,,2000,10,5
,"Kôji Yakusho, Aoi Miyazaki, Masaru Miyazaki, Yôichirô Saitô, Sayuri Kokushô, Ken Mitsuishi, Gô Rijû, Yutaka Matsushige, Sansei Shiomi, Kimie Shingyôji",,"DENTSU Music And Entertainment, Imagica Corp., J Works, Les Films de L'Observatoire, Suncent CinemaWorks",Shinji Aoyama,Drama,,243889,,"Tsukasa Ariyoshi, Philippe Avril, Kumi Sato, Takenori Sentô",2000-05-18,217,Eureka,7.8,4029,,,,217,7.8,4029,,2000,5,18
